ID,EVENT_DATE
1,2019-01-31
2,2005-07-07
3,2009-07-14
4,2011-03-07
5,2009-12-05
6,2012-06-01
7,2012-09-17
8,2012-01-04
9,2003-07-15
10,2016-10-01
11,2016-06-14
12,2014-08-12
13,2019-01-06
14,2018-09-23
15,2014-06-21
16,2013-04-07
17,2015-03-04
18,2000-03-29
19,2012-10-22
20,2019-06-17
21,2017-04-06
22,2012-09-10
23,2006-06-24
24,2003-10-09
25,2006-03-22
26,2016-06-10
27,2013-09-29
28,2011-04-20
29,2016-09-16
30,2019-10-13
31,2017-03-24
32,2007-09-13
33,2005-06-16
34,2010-11-26
35,2011-07-07
36,2017-04-14
37,2008-09-02
38,2019-02-19
39,2009-11-15
40,2015-08-20
41,2016-05-28
42,2012-10-18
43,2006-07-19
44,2008-01-28
45,2005-06-24
46,2017-10-25
47,2010-10-18
48,2019-03-16
49,2005-07-25
50,2012-03-01
51,2017-01-20
52,2008-11-06
53,2009-07-05
54,2009-10-15
55,2017-08-13
56,2019-07-30
57,2016-02-22
58,2018-05-16
59,2013-08-02
60,2012-03-19
61,1999-07-15
62,2016-07-14
63,2018-09-18
64,2007-10-14
65,2012-10-08
66,2012-11-14
67,2006-01-08
68,2009-09-26
69,2019-08-02
70,2014-11-16
71,2019-05-14
72,2004-04-08
73,2008-06-19
74,2014-03-04
75,2019-09-15
76,2019-03-29
77,2000-01-26
78,2008-12-12
79,2011-01-22
80,2018-09-07
81,2019-12-18
82,2014-06-17
83,2009-05-15
84,2005-06-01
85,2019-03-23
86,2014-05-27
87,2018-07-23
88,2005-06-30
89,2019-10-12
90,2003-08-10
91,2015-12-09
92,2010-04-07
93,2009-03-12
94,2010-07-21
95,2019-05-02
96,2006-01-09
97,2008-07-12
98,2011-01-09
99,2004-02-22
100,2011-07-11
101,2011-11-03
102,2015-09-28
103,1999-06-05
104,2019-12-07
105,2017-01-30
106,2005-02-12
107,2018-07-05
108,2013-10-10
109,2009-05-19
110,2019-03-09
111,2013-07-16
112,2016-08-14
113,2004-08-05
114,2013-05-29
115,2014-12-21
116,2008-09-18
117,2008-07-17
118,2010-09-16
119,2007-06-17
120,2012-08-27
121,2013-03-18
122,2019-01-19
123,2013-10-25
124,2014-03-19
125,2015-05-31
126,2015-12-03
127,2018-07-20
128,2014-12-07
129,2017-12-24
130,2017-11-13
131,2012-09-22
132,2010-08-24
133,2014-06-06
